timestamp,step,tokens_seen,split,loss
1785884320.1087356,40150,164775600,train,4.213716
1785884323.695931,40175,164878200,train,4.368489
1785884327.2503939,40200,164980800,train,4.350152
1785884343.1388235,40225,165083400,train,4.241573
1785884346.7314246,40250,165186000,train,4.252972
1785884347.6206925,40250,165186000,eval,4.093370
1785884351.1964915,40275,165288600,train,4.325268
1785884354.7648041,40300,165391200,train,4.310578
1785884370.5503042,40325,165493800,train,4.255014
1785884374.1025093,40350,165596400,train,4.297399
1785884377.6911182,40375,165699000,train,4.266560
1785884381.2766714,40400,165801600,train,4.229382
1785884397.048724,40425,165904200,train,4.320964
1785884400.614874,40450,166006800,train,4.213618
1785884404.1969078,40475,166109400,train,4.336826
1785884407.743142,40500,166212000,train,4.276338
1785884408.6272714,40500,166212000,eval,4.091097
1785884424.7716432,40525,166314600,train,4.322441
1785884428.3347857,40550,166417200,train,4.281893
1785884431.9236329,40575,166519800,train,4.299075
1785884435.5328825,40600,166622400,train,4.255692
1785884452.2298672,40625,166725000,train,4.236122
1785884455.8249357,40650,166827600,train,4.303378
1785884459.4746392,40675,166930200,train,4.325031
1785884463.0250392,40700,167032800,train,4.212443
1785884479.456796,40725,167135400,train,4.304271
1785884483.0043473,40750,167238000,train,4.254373
1785884483.8935063,40750,167238000,eval,4.088846
1785884487.4877954,40775,167340600,train,4.332308
1785884491.1104946,40800,167443200,train,4.247477
1785884507.4397652,40825,167545800,train,4.242635
1785884511.02255,40850,167648400,train,4.231544
1785884514.6014333,40875,167751000,train,4.316790
1785884518.200612,40900,167853600,train,4.303085
1785884534.4729455,40925,167956200,train,4.254177
1785884538.0218759,40950,168058800,train,4.204396
1785884541.6019785,40975,168161400,train,4.252210
1785884545.1633627,41000,168264000,train,4.186206
1785884546.0564537,41000,168264000,eval,4.088847
1785884562.5815582,41025,168366600,train,4.271022
1785884566.1917415,41050,168469200,train,4.302992
1785884569.7687626,41075,168571800,train,4.257108
1785884573.352898,41100,168674400,train,4.284233
1785884589.9609933,41125,168777000,train,4.286634
1785884593.520429,41150,168879600,train,4.233085
1785884597.1122744,41175,168982200,train,4.197389
1785884600.6792989,41200,169084800,train,4.241818
1785884616.8189306,41225,169187400,train,4.316954
1785884620.7607741,41250,169290000,train,4.246973
1785884621.696604,41250,169290000,eval,4.087231
1785884625.2563913,41275,169392600,train,4.251290
1785884628.8782318,41300,169495200,train,4.201391
1785884644.8368664,41325,169597800,train,4.407698
1785884648.4069605,41350,169700400,train,4.353451
1785884651.9606218,41375,169803000,train,4.253831
1785884655.5638592,41400,169905600,train,4.319407
1785884671.5064375,41425,170008200,train,4.244202
1785884675.0892293,41450,170110800,train,4.242277
1785884678.6852474,41475,170213400,train,4.245802
1785884682.3022022,41500,170316000,train,4.337686
1785884683.1876893,41500,170316000,eval,4.086232
1785884708.805017,41525,170418600,train,4.259560
1785884712.373623,41550,170521200,train,4.332873
1785884715.9612854,41575,170623800,train,4.382691
1785884719.526274,41600,170726400,train,4.356714
1785884735.2795615,41625,170829000,train,4.255880
1785884738.8260272,41650,170931600,train,4.314183
1785884742.363559,41675,171034200,train,4.322491
1785884745.9148295,41700,171136800,train,4.285696
1785884762.0032785,41725,171239400,train,4.246154
1785884765.5359294,41750,171342000,train,4.317144
1785884766.4166763,41750,171342000,eval,4.085804
1785884769.976379,41775,171444600,train,4.350156
1785884773.494143,41800,171547200,train,4.407305
1785884789.2749236,41825,171649800,train,4.300224
1785884792.810929,41850,171752400,train,4.232969
1785884796.3270822,41875,171855000,train,4.166724
1785884799.9549453,41900,171957600,train,4.279470
1785884818.017289,41925,172060200,train,4.332345
1785884821.5528178,41950,172162800,train,4.384058
1785884825.0687623,41975,172265400,train,4.380710
1785884828.6537042,42000,172368000,train,4.317000
1785884829.5321875,42000,172368000,eval,4.085700
1785884850.944668,42025,172470600,train,4.282631
1785884854.454313,42050,172573200,train,4.300550
1785884858.0470514,42075,172675800,train,4.192864
1785884861.7106907,42100,172778400,train,4.081071
1785884877.4921155,42125,172881000,train,4.251176
1785884881.123983,42150,172983600,train,4.215531
1785884884.7059264,42175,173086200,train,4.222224
1785884888.2574995,42200,173188800,train,4.408940
1785884904.106308,42225,173291400,train,4.286878
1785884907.6207058,42250,173394000,train,4.351508
1785884908.507086,42250,173394000,eval,4.083516
1785884912.0319786,42275,173496600,train,4.332605
1785884915.569228,42300,173599200,train,4.357068
1785884931.541202,42325,173701800,train,4.340296
1785884935.0988858,42350,173804400,train,4.284423
1785884938.6797798,42375,173907000,train,4.240564
1785884942.2200093,42400,174009600,train,4.237748
1785884958.307926,42425,174112200,train,4.316898
1785884961.8847163,42450,174214800,train,4.261056
1785884965.4288013,42475,174317400,train,4.272824
1785884968.9836102,42500,174420000,train,4.237730
1785884969.8570044,42500,174420000,eval,4.081747
1785884985.8623555,42525,174522600,train,4.264676
1785884989.416914,42550,174625200,train,4.293939
1785884992.9504037,42575,174727800,train,4.201766
1785884996.4870715,42600,174830400,train,4.323374
1785885012.879171,42625,174933000,train,4.321432
1785885016.4428775,42650,175035600,train,4.291082
1785885020.0017147,42675,175138200,train,4.210638
1785885023.5434675,42700,175240800,train,4.188192
1785885039.4720519,42725,175343400,train,4.259907
1785885043.024389,42750,175446000,train,4.305162
1785885043.918556,42750,175446000,eval,4.080258
1785885047.4655929,42775,175548600,train,4.218803
1785885051.0324767,42800,175651200,train,4.243575
1785885115.2331774,42825,175753800,train,4.284746
1785885118.7773852,42850,175856400,train,4.161341
1785885122.301705,42875,175959000,train,4.293667
1785885125.8288941,42900,176061600,train,4.308891
1785885141.8943784,42925,176164200,train,4.328424
1785885145.4203498,42950,176266800,train,4.272299
1785885148.9542694,42975,176369400,train,4.325717
1785885152.5022063,43000,176472000,train,4.284587
1785885153.374963,43000,176472000,eval,4.080424
1785885169.4638548,43025,176574600,train,4.282234
1785885173.028804,43050,176677200,train,4.265862
1785885176.5489638,43075,176779800,train,4.280618
1785885180.0914392,43100,176882400,train,4.319432
1785885196.0825167,43125,176985000,train,4.261847
1785885199.6066625,43150,177087600,train,4.196897
1785885203.114149,43175,177190200,train,4.248387
1785885206.682111,43200,177292800,train,4.216920
1785885222.8587823,43225,177395400,train,4.247232
1785885226.3866973,43250,177498000,train,4.206307
1785885227.2697008,43250,177498000,eval,4.079978
1785885230.834679,43275,177600600,train,4.291643
1785885234.375889,43300,177703200,train,4.233071
1785885252.4127204,43325,177805800,train,4.276982
1785885255.9604278,43350,177908400,train,4.169407
1785885259.5311472,43375,178011000,train,4.210192
1785885263.0913866,43400,178113600,train,4.258738
1785885278.863774,43425,178216200,train,4.233904
1785885282.4099667,43450,178318800,train,4.280266
1785885285.963981,43475,178421400,train,4.354191
1785885289.5212343,43500,178524000,train,4.238669
1785885290.3995469,43500,178524000,eval,4.079469
1785885306.2806113,43525,178626600,train,4.230894
1785885309.8423638,43550,178729200,train,4.290259
1785885313.4003942,43575,178831800,train,4.304073
1785885316.9501476,43600,178934400,train,4.301291
1785885333.796148,43625,179037000,train,4.280952
1785885337.2958605,43650,179139600,train,4.170270
1785885340.86038,43675,179242200,train,4.317927
1785885344.419361,43700,179344800,train,4.362970
1785885360.465734,43725,179447400,train,4.267113
1785885364.025974,43750,179550000,train,4.290448
1785885364.9007616,43750,179550000,eval,4.077812
1785885368.4374835,43775,179652600,train,4.228145
1785885371.9830966,43800,179755200,train,4.274784
1785885388.5111125,43825,179857800,train,4.253341
1785885392.0593555,43850,179960400,train,4.270948
1785885395.5705717,43875,180063000,train,4.228864
1785885399.1170602,43900,180165600,train,4.251977
1785885415.0596476,43925,180268200,train,4.364117
1785885418.5931227,43950,180370800,train,4.186806
1785885422.1410296,43975,180473400,train,4.198202
1785885425.6770332,44000,180576000,train,4.286508
1785885426.5806193,44000,180576000,eval,4.078187
1785885442.4403274,44025,180678600,train,4.167457
1785885445.9719996,44050,180781200,train,4.309906
1785885449.492659,44075,180883800,train,4.180695
1785885453.0325754,44100,180986400,train,4.228658
1785885469.3900857,44125,181089000,train,4.288239
1785885472.909053,44150,181191600,train,4.145236
1785885476.4206665,44175,181294200,train,4.294301
1785885479.977898,44200,181396800,train,4.229630
1785885495.8722205,44225,181499400,train,4.279767
1785885499.4404445,44250,181602000,train,4.281663
1785885500.3174357,44250,181602000,eval,4.077675
1785885503.8591232,44275,181704600,train,4.160036
1785885507.3912544,44300,181807200,train,4.319376
1785885523.2445083,44325,181909800,train,4.263952
1785885526.7707949,44350,182012400,train,4.288971
1785885530.3184617,44375,182115000,train,4.284999
1785885533.8932297,44400,182217600,train,4.292549
1785885550.7000873,44425,182320200,train,4.180971
1785885554.4010859,44450,182422800,train,4.337664
1785885557.9187255,44475,182525400,train,4.205241
1785885561.458111,44500,182628000,train,4.377601
1785885562.3537362,44500,182628000,eval,4.078029
1785885579.089196,44525,182730600,train,4.495156
1785885582.6106572,44550,182833200,train,4.278151
1785885586.2002015,44575,182935800,train,4.229378
1785885589.7595067,44600,183038400,train,4.291172
1785885606.3769202,44625,183141000,train,4.253448
1785885609.9177005,44650,183243600,train,4.237984
1785885613.4881299,44675,183346200,train,4.354394
1785885617.0362499,44700,183448800,train,4.321617
1785885633.3370407,44725,183551400,train,4.292995
1785885636.885106,44750,183654000,train,4.271345
1785885637.7573411,44750,183654000,eval,4.078501
1785885641.3108342,44775,183756600,train,4.273141
1785885644.8760521,44800,183859200,train,4.322210
1785885661.207782,44825,183961800,train,4.203223
1785885664.7753947,44850,184064400,train,4.253268
1785885668.34485,44875,184167000,train,4.259059
1785885671.8978486,44900,184269600,train,4.279073
1785885687.697853,44925,184372200,train,4.333143
1785885691.2224872,44950,184474800,train,4.253781
1785885694.7665102,44975,184577400,train,4.318400
1785885698.3366196,45000,184680000,train,4.259250
1785885699.2155976,45000,184680000,eval,4.077827
1785885715.1829104,45025,184782600,train,4.257763
1785885718.745738,45050,184885200,train,4.184108
1785885722.2892466,45075,184987800,train,4.201214
1785885725.852239,45100,185090400,train,4.146170
1785885741.6613057,45125,185193000,train,4.267201
1785885745.2338974,45150,185295600,train,4.390377
1785885748.8526216,45175,185398200,train,4.303565
1785885752.3962188,45200,185500800,train,4.138160
1785885768.2361615,45225,185603400,train,4.366077
1785885771.7859788,45250,185706000,train,4.234412
1785885772.670923,45250,185706000,eval,4.076855
1785885776.2290118,45275,185808600,train,4.303426
1785885779.7850442,45300,185911200,train,4.248127
1785885795.736117,45325,186013800,train,4.315826
1785885799.2690978,45350,186116400,train,4.304317
1785885802.8287275,45375,186219000,train,4.304301
1785885806.3796022,45400,186321600,train,4.312620
1785885822.2228103,45425,186424200,train,4.357395
1785885825.8153446,45450,186526800,train,4.237802
1785885829.383256,45475,186629400,train,4.308746
1785885832.952656,45500,186732000,train,4.350302
1785885833.8419127,45500,186732000,eval,4.076910
1785885849.664866,45525,186834600,train,4.379405
1785885853.2094476,45550,186937200,train,4.258523
1785885856.764895,45575,187039800,train,4.249693
1785885860.3113155,45600,187142400,train,4.259108
1785885877.0113099,45625,187245000,train,4.300692
1785885880.5529914,45650,187347600,train,4.257926
1785885884.0822816,45675,187450200,train,4.218767
1785885887.6397243,45700,187552800,train,4.275794
1785885903.4141912,45725,187655400,train,4.258402
1785885906.9810483,45750,187758000,train,4.313511
1785885907.8691492,45750,187758000,eval,4.075749
1785885911.4080472,45775,187860600,train,4.247667
1785885914.9615989,45800,187963200,train,4.381185
1785885930.7634683,45825,188065800,train,4.196501
1785885934.2770832,45850,188168400,train,4.305105
1785885937.8355587,45875,188271000,train,4.270162
1785885941.3998892,45900,188373600,train,4.236065
1785885981.1204884,45925,188476200,train,4.200701
1785885984.6484299,45950,188578800,train,4.217082
1785885988.1797361,45975,188681400,train,4.351596
1785885991.8373477,46000,188784000,train,4.276558
1785885992.7082288,46000,188784000,eval,4.075167
1785886008.4307458,46025,188886600,train,4.250215
1785886011.9699633,46050,188989200,train,4.299659
1785886015.5398524,46075,189091800,train,4.287738
1785886019.0818608,46100,189194400,train,4.229481
1785886034.949942,46125,189297000,train,4.277592
1785886038.5074203,46150,189399600,train,4.252543
1785886042.002898,46175,189502200,train,4.250988
1785886045.5289109,46200,189604800,train,4.277247
1785886061.3586102,46225,189707400,train,4.321056
1785886064.8784063,46250,189810000,train,4.232911
1785886065.7694952,46250,189810000,eval,4.074390
1785886069.3025093,46275,189912600,train,4.290754
1785886072.835409,46300,190015200,train,4.242461
1785886088.6738403,46325,190117800,train,4.195531
1785886092.2657716,46350,190220400,train,4.256616
1785886095.82016,46375,190323000,train,4.193035
1785886099.442774,46400,190425600,train,4.247396
1785886115.5619645,46425,190528200,train,4.241375
1785886119.0972366,46450,190630800,train,4.196066
1785886122.661405,46475,190733400,train,4.182647
1785886126.1826756,46500,190836000,train,4.259443
1785886127.0553575,46500,190836000,eval,4.074113
1785886142.8164165,46525,190938600,train,4.300797
1785886146.3826883,46550,191041200,train,4.239349
1785886149.9135847,46575,191143800,train,4.145644
1785886153.4478745,46600,191246400,train,4.292678
1785886169.2224536,46625,191349000,train,4.290724
1785886172.739656,46650,191451600,train,4.188084
1785886176.333708,46675,191554200,train,4.507399
1785886179.8691115,46700,191656800,train,4.219308
1785886195.700421,46725,191759400,train,4.381040
1785886199.267456,46750,191862000,train,4.229709
1785886200.1482196,46750,191862000,eval,4.074371
1785886203.706178,46775,191964600,train,4.203806
1785886207.2489989,46800,192067200,train,4.301146
1785886223.1224124,46825,192169800,train,4.295339
1785886226.644201,46850,192272400,train,4.250468
1785886230.167272,46875,192375000,train,4.233413
1785886233.7265868,46900,192477600,train,4.229655
1785886249.5311072,46925,192580200,train,4.248607
1785886253.0461807,46950,192682800,train,4.163388
1785886256.663741,46975,192785400,train,4.552367
1785886260.1868186,47000,192888000,train,4.252964
1785886261.060004,47000,192888000,eval,4.073711
1785886276.975583,47025,192990600,train,4.296574
1785886280.510845,47050,193093200,train,4.245167
1785886284.03422,47075,193195800,train,4.381846
1785886287.5903602,47100,193298400,train,4.236448
1785886303.3580801,47125,193401000,train,4.210268
1785886306.8903847,47150,193503600,train,4.332637
